ID,price
845,2281657.988882052
1924,1023963.4997105004
10718,1216836.413653963
12076,7431988.700851593
12254,1868301.0446614479
9950,2775061.126996237
1548,2488375.2703537545
526,1204912.663858867
6776,1036167.2584993826
1851,1365910.7315037525
9188,1837412.0264718493
3382,3032394.132113471
242,2408987.603066037
6439,1895280.1477240762
1561,2560605.180093956
5339,2519788.835647604
7387,2494733.11840669
11576,1773100.5043151903
5984,5128700.146341256
4486,1797273.730320715
2205,977188.1351940242
3468,1352876.4410650965
4226,2236439.515843071
2088,2433590.5357823786
2118,2775006.80140335
8036,1509072.942268151
23,1236743.5445599894
1898,1957799.2913834637
6976,2387425.1090248455
1465,3204438.65824924
2040,1451999.0086721908
482,1093789.2802817586
5122,1912138.1753485838
3447,1223447.5887588798
12877,2552671.238036933
3780,1350725.8408755423
1285,1665224.3534454515
9200,1944309.6052086623
921,3100686.4224319304
3060,2750630.565619773
1082,1020230.2364984724
71,3838228.130327978
4464,1781044.7212864922
4576,3690717.747167537
897,2854918.881395868
1756,905105.0273251251
8745,2416290.017839859
806,1481715.871765091
803,1435754.933812998
7613,1468846.0141299726
243,1267510.8151334415
8135,1309750.5964042526
1527,2184930.8743589693
2825,1260185.2121080626
666,1060035.5373549701
12028,1525293.1004908015
2308,1975589.152331677
11223,1415072.4487036595
1479,871115.0861646207
2057,2158257.7807454714
2368,1054862.7824808625
7638,2658926.6984343235
432,2177967.693550693
9800,1214103.8213055127
2140,3311588.15302169
837,1972879.0303941811
3227,1912609.8780662837
12412,2204540.587025376
10267,1310429.0406237855
3850,3465477.477585177
382,4290672.304420429
1280,2345850.3131020204
2226,4644642.800707757
4166,3285680.4569818103
5208,2937905.458316931
4513,1660887.7577582684
10814,3118360.8413139074
3120,2827133.322084327
7915,1837915.5176511677
3513,2207104.4350802097
9041,1360898.2098082397
561,1321052.6239415638
11041,2770897.3801819743
2920,2740124.2082516635
2042,1028427.0756249303
10220,1677309.7854577897
11511,1680759.8364426834
8424,2869403.9488054756
5801,2975177.392456591
10746,1263272.050229315
11018,1218161.2150325296
816,683576.6981687645
10413,1621006.6759396424
4471,3049641.7913220213
1928,1858062.9126769092
323,1598176.3993202376
11548,3058450.49924222
12564,2220426.820993021
5817,3447877.4151168005
1030,1334229.8782931704
3888,1746950.989092535
2427,1997198.4591508145
5378,1890501.3191015196
3701,1551172.4140926842
4536,1516899.6270132568
3799,3599643.4021412763
9431,2385977.259945984
10878,1182344.6484520182
2028,866052.7185956084
5598,2131462.456464117
5828,6352142.443425271
2842,2062413.0654654072
279,2214298.7033634684
4812,2106847.473241654
11406,1829437.0606460485
1086,1403851.3921914697
2696,1253557.0992887171
9220,1161728.2630061125
1496,1283023.7084073334
3737,1329736.2044782315
12211,3505057.09351354
1556,1746814.9426440753
1066,1293665.9386825715
1836,1177809.5586323524
10913,1199051.4716815052
1868,1401118.8094255687
12610,3354338.3583966866
12146,1624776.047666369
2087,1529509.3898056513
2916,2426900.9094405803
10188,2807084.4660461824
3253,1605763.0731493826
9082,2491955.019265149
12493,1328697.5673060492
5898,3430859.946333829
8409,2302531.427144929
5885,2113933.6403251635
1101,985323.0880002254
10071,2119131.0105756125
11403,4351366.155816529
728,1167532.7728457595
11647,3376195.031913009
1931,2199935.6431555264
232,2626825.8486626083
3988,1663606.070914326
9416,1704406.5750439598
1866,1743124.59045973
5685,2752755.7935429444
2779,1875768.0328046975
3294,2896654.1258002087
1471,2332470.523331968
2960,1195836.508912438
10447,1823871.6706431115
1220,2217665.6488629053
69,1734986.287573127
2002,4214354.418637833
2784,2261931.2481079195
1911,2106602.981929072
3023,1419199.1693522844
3394,1636562.5492566905
5920,1347305.5451739444
688,2580416.493298479
1511,1847609.9862396163
3572,3531824.7084272704
12401,1189504.4901000042
10756,2511284.512325397
4007,1799305.6207351512
3230,1346615.8385151476
12240,3110800.284866009
10539,1815828.0668136803
3226,3417915.4995120205
2280,1055946.4055633089
3650,2472136.1305492865
8540,1396232.5952572362
5847,1461974.406569559
6694,3221356.20132352
1336,1317171.5373134091
2538,1950001.0015668124
7185,3490363.8782982007
8314,2515318.598293193
1204,753356.2954599826
2020,1244416.0165752417
2468,1577662.0564059394
9909,1870950.9486295183
7935,1097509.9642275965
1361,1611487.1503500724
6138,1628936.8954088541
1914,3576908.0469554756
11090,1839850.9680773995
9320,1570944.565047646
172,1848190.6886746646
823,3120742.3129329127
1189,1166214.8891843376
3768,875175.9619963632
2993,2018857.2964505097
12873,1402136.1587027204
1146,921868.210239309
19,1579190.3284414655
2113,2484682.968787859
5132,2524364.961996295
11109,2318024.406067519
1562,1037198.0215906877
337,1575343.8113537582
1981,4522599.74331202
546,1263360.400094212
7428,2019232.1571087514
230,1002773.8258412181
412,2815609.9731243113
2205,833918.06629341
9114,2656045.7514218357
1803,2212551.8603593092
1571,3037719.685512238
12362,3894067.540471045
8109,1818869.4322598062
3868,3231597.8028768282
3013,2199578.973459539
1011,1044022.8728869092
12983,2994944.363591839
116,1755603.506195455
3245,1655871.902704534
2253,4510136.246262696
10879,3084543.5772933415
2246,1399839.8305691
11494,3041757.233975535
2259,3098659.583215305
2199,1615281.627925176
1692,1539424.7792240677
5772,1684594.5094587633
10182,2185877.6666644798
5051,2576429.9142871466
5033,5331337.3767118845
11113,2243661.8735747254
51,2102101.6807618537
5129,1236812.4618494816
1550,1661851.3175453648
616,2937421.43987866
10151,2710032.6465800586
6994,3781617.092889335
5738,2489358.512912848
5729,5167654.976019521
1122,946304.9017694496
3406,1288728.9635622383
2196,933832.5517407287
3768,2658262.0081929876
4432,2014334.1315298532
2236,1147081.0125551997
1743,2215349.856195711
2046,2297487.247255713
781,955007.2704684488
1126,938649.9606557491
10472,2958828.3919231556
3524,1761247.9007388866
6922,1879282.8934608884
6018,2335736.174508525
2973,2034255.0844735212
8323,3614639.297363197
576,1367800.936125747
